Variable,Mean,Min,Max
elevation,86.59499737855701,0.0,784.0
temperature_2m_max,26.57605909640873,5.322999954223633,38.92449951171875
temperature_2m_min,19.962935783989515,0.31550002098083496,31.351999282836914
temperature_2m_mean,22.924180492176628,3.908416509628296,33.229087829589844
apparent_temperature_max,29.485811023868695,-1.3711509704589844,45.68416976928711
apparent_temperature_min,21.561221728533727,-4.838836193084717,37.23384094238281
apparent_temperature_mean,25.156277578027098,-2.254558563232422,41.01900100708008
daylight_duration,43763.57236574329,37773.96484375,49624.07421875
precipitation_sum,5.814624361957055,0.0,291.6999816894531
rain_sum,5.814594225669719,0.0,291.6999816894531
precipitation_hours,6.445277893598313,0.0,24.0
wind_speed_10m_max,17.623683531742117,2.9024126529693604,102.1093521118164
wind_gusts_10m_max,38.435639368263004,10.440000534057617,205.9199981689453
shortwave_radiation_sum,16.133598852866648,1.0299999713897705,29.25
et0_fao_evapotranspiration,3.418997092441089,0.32094019651412964,8.56516170501709
latitude,24.36142831788137,22.03722,26.22512
longitude,120.98657807036365,118.1701,121.9215
day,182.63331585704674,1.0,365.0
cumulative_temperature_2m_mean,4051.7949033535724,16.462000370025635,9192.448732376099
cumulative_apparent_temperature_mean,4409.3401249034305,2.685095727443695,10678.108613014221
cumulative_daylight_duration,8089585.777114858,75827.48828125,16013058.296875
cumulative_sunshine_duration,5650322.7701016525,0.0,13115814.907714844
cumulative_precipitation_sum,1057.149099810133,0.0,8463.000042587519
cumulative_rain_sum,1057.138221848857,0.0,8463.000042587519
cumulative_precipitation_hours,1177.7977649618342,0.0,5365.0
cumulative_shortwave_radiation_sum,2985.095264262072,3.6500000953674316,6846.699999332428
cumulative_et0_fao_evapotranspiration,616.8016365215547,0.9110265672206879,1507.2557727694511
