Feature,Mean SHAP Value
elevation,0.0008452562151192294
temperature_2m_max,0.004490613901572807
temperature_2m_min,0.012887366818873664
temperature_2m_mean,0.005754439370877719
apparent_temperature_max,0.008245560629122272
apparent_temperature_min,0.0022166412988330795
apparent_temperature_mean,0.018248604769152712
daylight_duration,0.008053272450532722
precipitation_sum,0.0017792998477930008
rain_sum,0.0017239979705733135
precipitation_hours,0.0007468290208016226
wind_speed_10m_max,0.0013419583967529181
wind_gusts_10m_max,0.0018056823947234883
shortwave_radiation_sum,0.004400811770674786
et0_fao_evapotranspiration,0.002490106544901066
latitude,0.0016752917300862505
longitude,0.0009812278031456109
day,0.04930695078640289
cumulative_temperature_2m_mean,0.055506849315068454
cumulative_apparent_temperature_mean,0.016480974124809738
cumulative_daylight_duration,0.22192998477929984
cumulative_sunshine_duration,0.07301522070015218
cumulative_precipitation_sum,0.006522070015220697
cumulative_rain_sum,0.007834601725012682
cumulative_precipitation_hours,0.006634703196347031
cumulative_shortwave_radiation_sum,0.009666159309994917
cumulative_et0_fao_evapotranspiration,0.00614611872146118
