Model Name,Accuracy,MCC,Actual 0 Predicted 0,Actual 0 Predicted 1,Actual 1 Predicted 0,Actual 1 Predicted 1
cf_ensemble_score_0.20_evaluation,0.5728643216080402,0.3834650978973968,260,336,4,196
cf_ensemble_score_0.40_evaluation,0.7713567839195979,0.5813995954065067,422,174,8,192
cf_ensemble_score_0.60_evaluation,0.8530150753768844,0.6829439366974412,493,103,14,186
cf_ensemble_score_0.80_evaluation,0.8756281407035176,0.6795604468572484,538,58,41,159
cf_ensemble_score_1.00_evaluation,0.7487437185929648,0.0,596,0,200,0
cf_GLM_evaluation,0.614321608040201,0.4158856074846676,295,301,6,194
cf_LDA_evaluation,0.8241206030150754,0.6497216107310457,465,131,9,191
cf_NN_evaluation,0.7097989949748744,0.2350933794153158,478,118,113,87
cf_RF_evaluation,0.8706030150753769,0.6491394566691921,551,45,58,142
cf_SVM_evaluation,0.8542713567839196,0.6772093717358383,498,98,18,182
cg_ensemble_score_0.20_evaluation,0.6073059360730594,0.4307221100273638,78,86,0,55
cg_ensemble_score_0.40_evaluation,0.8036529680365296,0.6342851736993544,122,42,1,54
cg_ensemble_score_0.60_evaluation,0.863013698630137,0.6666078506370144,143,21,9,46
cg_ensemble_score_0.80_evaluation,0.863013698630137,0.6315452604429961,150,14,16,39
cg_ensemble_score_1.00_evaluation,0.7488584474885844,0.0,164,0,55,0
cg_GLM_evaluation,0.6164383561643836,0.42627320666268304,81,83,1,54
cg_LDA_evaluation,0.863013698630137,0.650158436384285,146,18,12,43
cg_NN_evaluation,0.730593607305936,0.2442053951773538,139,25,34,21
cg_RF_evaluation,0.8584474885844748,0.609453731387497,152,12,19,36
cg_SVM_evaluation,0.8447488584474886,0.6686456375812586,134,30,4,51
