Variable,Mean,Min,Max
elevation,180.53333333333333,31.0,549.0
temperature_2m_max,27.16352267065552,8.278499603271484,34.69099807739258
temperature_2m_min,19.413513590468735,4.210000038146973,26.791000366210938
temperature_2m_mean,22.748643451136534,5.922250270843506,29.878501892089844
apparent_temperature_max,30.663679153193975,2.1238150596618652,43.83598709106445
apparent_temperature_min,20.96869673624716,-2.3902769088745117,32.14070129394531
apparent_temperature_mean,25.234490605675784,-0.495870441198349,36.17057800292969
daylight_duration,43736.433447176685,38272.7421875,49103.9375
precipitation_sum,6.460537322437584,0.0,175.89999389648438
rain_sum,6.460537322437584,0.0,175.89999389648438
precipitation_hours,4.770765027322405,0.0,24.0
wind_speed_10m_max,16.446718710975787,5.001279830932617,77.2795639038086
wind_gusts_10m_max,35.78117938658362,14.039999961853027,149.39999389648438
shortwave_radiation_sum,17.594986342080954,2.119999885559082,27.299999237060547
et0_fao_evapotranspiration,3.555955824999644,0.5119481682777405,5.920241355895996
latitude,24.19466928157119,24.107808192631214,24.290802142482708
longitude,120.69779047224102,120.6091979675789,120.79354419090627
day,183.49726775956285,1.0,365.0
cumulative_temperature_2m_mean,4045.11964391876,15.034998893737793,8608.122764587402
cumulative_apparent_temperature_mean,4432.3246350073205,11.84804630279541,9680.525073289871
cumulative_daylight_duration,8080929.170968878,38375.140625,16007787.26953125
cumulative_sunshine_duration,6208610.706982577,35449.59765625,12258890.588409424
cumulative_precipitation_sum,1125.710835827589,0.0,2607.900005750358
cumulative_rain_sum,1125.710835827589,0.0,2607.900005750358
cumulative_precipitation_hours,868.1466302367942,0.0,1832.0
cumulative_shortwave_radiation_sum,3320.934940598289,14.869999885559082,6457.630002260208
cumulative_et0_fao_evapotranspiration,662.7602329031691,2.552049398422241,1362.707462310791
