Variable,Mean,Min,Max
elevation,409.8333333333333,15.0,1118.0
temperature_2m_max,24.010115620781598,2.7074997425079346,37.6254997253418
temperature_2m_min,18.041959946967648,-0.49250006675720215,28.525501251220703
temperature_2m_mean,20.710486393786955,0.7887499332427979,32.51091384887695
apparent_temperature_max,26.84216998116349,-0.7390744686126709,44.13841247558594
apparent_temperature_min,19.592892173361474,-3.790468215942383,34.754634857177734
apparent_temperature_mean,22.865404684911862,-2.5020956993103027,38.216712951660156
daylight_duration,43741.86529627732,38095.47265625,49288.0546875
precipitation_sum,8.64626593224175,0.0,303.6000061035156
rain_sum,8.642550085512124,0.0,303.6000061035156
precipitation_hours,9.407650273224045,0.0,24.0
wind_speed_10m_max,14.692013037617306,4.213691711425781,74.833251953125
wind_gusts_10m_max,35.36849086966454,13.319999694824219,191.87998962402344
shortwave_radiation_sum,13.809042809298347,0.9100000262260437,27.6299991607666
et0_fao_evapotranspiration,2.7341366300695253,0.21602801978588104,7.374508857727051
latitude,24.901866888781537,24.802351605657645,24.99415501353729
longitude,121.58574036466898,121.51575842161796,121.6933465773976
day,183.49726775956285,1.0,365.0
cumulative_temperature_2m_mean,3651.2560253998186,8.124166488647461,8660.264302253723
cumulative_apparent_temperature_mean,3987.854734750969,6.25225305557251,9601.945278644562
cumulative_daylight_duration,8083797.22358692,38201.40234375,16009762.2578125
cumulative_sunshine_duration,4518530.009861076,2560.573486328125,9273580.410118103
cumulative_precipitation_sum,1270.3250367136661,0.0,4932.699945881963
cumulative_rain_sum,1269.0468309759938,0.0,4927.399948552251
cumulative_precipitation_hours,1547.2166666666667,0.0,4539.0
cumulative_shortwave_radiation_sum,2612.178943187639,6.019999980926514,5313.230002164841
cumulative_et0_fao_evapotranspiration,507.13249356353924,0.8751834034919739,1185.6810964941978
